# ID[1] RA[2] RA_ERR[3] DEC[4] DEC_ERR[5] Z[6] Z_ERR[7] NGAL[8] SN[9] RADIUS[10] AREA[11]
       1   2.76211 0.00097  +0.92631 0.00143 0.06388 0.00021       35   46.21323 0.40029   0.50338
       2   2.79874 0.00221  +1.01665 0.00058 0.07189 0.00031       19   25.37643 0.41684   0.54588
       3   2.76734 0.00276  +0.95412 0.00180 0.06533 0.00047       16   14.29433 0.56652   1.00827
       4   2.51337 0.00194  +0.95089 0.00137 0.06186 0.00024       12   16.91724 0.36068   0.40869
       5   2.59137 0.00231  +0.96304 0.00058 0.07070 0.00096       12   19.15740 0.34424   0.37228
       6   2.73704 0.00106  +0.92779 0.00070 0.06398 0.00019       10   32.14265 0.16562   0.08618
       7   2.75132 0.00121  +0.94976 0.00228 0.06493 0.00024       10   14.87391 0.34887   0.38236
       8   2.55705 0.00159  +0.97669 0.00389 0.06118 0.00053        9    7.45428 0.55655   0.97310
       9   2.62967 0.00160  +0.97727 0.00077 0.07253 0.00026        9   23.12706 0.22044   0.15266
      10   2.55028 0.00243  +0.95106 0.00164 0.06269 0.00056        7   10.02473 0.34886   0.38234
      11   2.66533 0.00202  +0.98871 0.00146 0.07154 0.00054        7   14.20000 0.27234   0.23300
      12   2.43628 0.00037  +1.00383 0.00209 0.06832 0.00032        7   16.71367 0.22732   0.16234
      13   2.72351 0.00274  +0.94498 0.00087 0.06403 0.00028        6    9.43203 0.32163   0.32499
      14   2.54266 0.00180  +0.89089 0.00222 0.06635 0.00050        6    9.19946 0.33477   0.35207
      15   2.47056 0.00107  +0.96185 0.00107 0.06556 0.00011        6   20.87074 0.15430   0.07480
      16   2.70557 0.00198  +0.96945 0.00066 0.06824 0.00041        5   14.98417 0.18147   0.10346
      17   2.70462 0.00036  +0.90875 0.00116 0.06509 0.00011        5   26.40730 0.10191   0.03263
      18   2.54013 0.00071  +0.97593 0.00174 0.05987 0.00012        5   14.69433 0.17348   0.09454
      19   2.50461 0.00156  +1.01110 0.00044 0.07120 0.00023        5   19.65246 0.14303   0.06427
      20   2.77536 0.00147  +1.02208 0.00075 0.07145 0.00017        5   15.25807 0.18312   0.10535
